Species	Assay	Treatment	Cq
Palni	gDNA	Treated	26,755
Palni	gDNA	Treated	27,32
Palni	gDNA	Treated	25,89
Palni	gDNA	Treated	27,821
Palni	gDNA	Treated	27,32
Palni	gDNA	Treated	26,41
Palni	gDNA	Untreated	24,473
Palni	gDNA	Untreated	25,33
Palni	gDNA	Untreated	26,32
Palni	gDNA	Untreated	25,312
Palni	gDNA	Untreated	24,31
Palni	gDNA	Untreated	25,89
Plateralis	gDNA	Treated	27,752
Plateralis	gDNA	Treated	29,1
Plateralis	gDNA	Treated	27,75
Plateralis	gDNA	Treated	29,744
Plateralis	gDNA	Treated	29,32
Plateralis	gDNA	Treated	28,98
Plateralis	gDNA	Treated	30,673
Plateralis	gDNA	Treated	29,98
Plateralis	gDNA	Treated	28,96
Plateralis	gDNA	Untreated	24,985
Plateralis	gDNA	Untreated	25,65
Plateralis	gDNA	Untreated	26,43
Plateralis	gDNA	Untreated	26,03
Plateralis	gDNA	Untreated	24,55
Plateralis	gDNA	Untreated	25,35
Plateralis	gDNA	Untreated	26,893
Plateralis	gDNA	Untreated	27,37
Plateralis	gDNA	Untreated	26,98
Pcinnamomi	gDNA	Treated	26,537
Pcinnamomi	gDNA	Treated	26,25
Pcinnamomi	gDNA	Treated	25,67
Pcinnamomi	gDNA	Treated	27,366
Pcinnamomi	gDNA	Treated	29,81
Pcinnamomi	gDNA	Treated	28,67
Pcinnamomi	gDNA	Treated	29,73
Pcinnamomi	gDNA	Treated	28,78
Pcinnamomi	gDNA	Treated	30,92
Pcinnamomi	gDNA	Untreated	23,924
Pcinnamomi	gDNA	Untreated	25,65
Pcinnamomi	gDNA	Untreated	24,21
Pcinnamomi	gDNA	Untreated	27,843
Pcinnamomi	gDNA	Untreated	29,13
Pcinnamomi	gDNA	Untreated	28,35
Pcinnamomi	gDNA	Untreated	28,827
Pcinnamomi	gDNA	Untreated	27,67
Pcinnamomi	gDNA	Untreated	26,43
Pramorum	gDNA	Treated	21,582
Pramorum	gDNA	Treated	22,98
Pramorum	gDNA	Treated	23,12
Pramorum	gDNA	Treated	24,411
Pramorum	gDNA	Treated	26,91
Pramorum	gDNA	Treated	25,67
Pramorum	gDNA	Treated	25,445
Pramorum	gDNA	Treated	26,16
Pramorum	gDNA	Treated	27,48
Pramorum	gDNA	Untreated	19,312
Pramorum	gDNA	Untreated	20,22
Pramorum	gDNA	Untreated	21,34
Pramorum	gDNA	Untreated	22,145
Pramorum	gDNA	Untreated	24,32
Pramorum	gDNA	Untreated	23,21
Pramorum	gDNA	Untreated	22,974
Pramorum	gDNA	Untreated	23,78
Pramorum	gDNA	Untreated	24,23
Palni	cDNA	Treated	40
Palni	cDNA	Treated	40
Palni	cDNA	Treated	40
Palni	cDNA	Treated	40
Palni	cDNA	Treated	40
Palni	cDNA	Treated	40
Palni	cDNA	Untreated	29,12
Palni	cDNA	Untreated	28,47
Palni	cDNA	Untreated	28,01
Palni	cDNA	Untreated	29,679
Palni	cDNA	Untreated	31,32
Palni	cDNA	Untreated	30,21
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Treated	40
Plateralis	cDNA	Untreated	28,615
Plateralis	cDNA	Untreated	29,32
Plateralis	cDNA	Untreated	30,11
Plateralis	cDNA	Untreated	29,528
Plateralis	cDNA	Untreated	28,78
Plateralis	cDNA	Untreated	30,1
Plateralis	cDNA	Untreated	29,9117
Plateralis	cDNA	Untreated	28,32
Plateralis	cDNA	Untreated	29,21
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Treated	40
Pcinnamomi	cDNA	Untreated	30,026
Pcinnamomi	cDNA	Untreated	29,63
Pcinnamomi	cDNA	Untreated	28,19
Pcinnamomi	cDNA	Untreated	32,187
Pcinnamomi	cDNA	Untreated	31,19
Pcinnamomi	cDNA	Untreated	30,21
Pcinnamomi	cDNA	Untreated	32,11
Pcinnamomi	cDNA	Untreated	32,93
Pcinnamomi	cDNA	Untreated	33,91
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Treated	40
Pramorum	cDNA	Untreated	29,498
Pramorum	cDNA	Untreated	28,65
Pramorum	cDNA	Untreated	30,65
Pramorum	cDNA	Untreated	30,264
Pramorum	cDNA	Untreated	29,34
Pramorum	cDNA	Untreated	30,15
Pramorum	cDNA	Untreated	31,534
Pramorum	cDNA	Untreated	30,15
Pramorum	cDNA	Untreated	32,11
